volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,11.856985799997346,13.056989499996416,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,10,11.98748899999191,13.187501999974483,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,10,12.184313099976862,13.384324399975593,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,10,12.372800599987386,13.5728134999983,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,10,12.554030899977079,13.754042099975049,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,10,12.66568219999317,13.865693499991902,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,10,12.766923399991356,13.966932599974097,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,10,13.016219099983573,14.21622839999618,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,10,13.093174399982672,14.293185599980642,-0.02751,-0.023373,baseline,0,0,nan,nan,nan,nan
9,10,13.142152899992652,14.342164099990622,0.045039,0.059789,baseline,0,0,nan,nan,nan,nan
10,10,13.907008499983931,15.107019699981901,0.113604,0.217923,baseline,0,0,nan,nan,nan,nan
11,10,15.073893699998735,16.27390679998207,0.106013,0.297099,baseline,0,0,nan,nan,nan,nan
12,10,16.259623699996155,17.459634899994125,0.094405,0.108203,baseline,0,0,nan,nan,nan,nan
13,10,17.505742699984694,18.705746399983763,-0.050594,-0.090275,baseline,0,0,nan,nan,nan,nan
14,10,18.70155469997553,19.90156779998797,0.132483,0.050432,baseline,0,0,nan,nan,nan,nan
15,10,19.867404399992665,21.067413599975406,-0.013714,0.041826,baseline,0,0,nan,nan,nan,nan
16,10,21.1062707999954,22.306283799977972,-0.031188,0.061679,baseline,0,0,nan,nan,nan,nan
17,10,22.32071449997602,23.520727499987697,0.035866,-0.016723,baseline,0,0,nan,nan,nan,nan
18,10,23.466419399977894,24.66642859998974,-0.070217,-0.01248,baseline,0,0,nan,nan,nan,nan
19,10,24.666812899988145,25.86682220000075,-0.101634,0.123781,baseline,0,0,nan,nan,nan,nan
20,10,25.889008899976034,27.08901819998864,0.054288,0.18133,baseline,0,0,nan,nan,nan,nan
21,10,27.115012399997795,28.315023699996527,0.215119,0.160565,baseline,0,0,nan,nan,nan,nan
22,10,28.272166999988258,29.472178199986228,0.193105,0.050282,baseline,0,0,nan,nan,nan,nan
23,10,29.472075699974084,30.67208700000192,0.203575,0.172734,baseline,0,0,nan,nan,nan,nan
24,10,30.65448009999818,31.854483899998012,0.118619,0.042051,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,10,31.907343699975172,33.10734729997348,0.089726,-0.055249,feedback,0,0,False,0.005067362122312461,0.3333333333333333,-0.3333333333333333
26,10,33.07452799999737,34.274531699996444,0.061377,0.015455,feedback,0,0,False,0.013662542065395928,0.3333333333333333,-0.3333333333333333
27,10,34.32284079998499,35.522852999990576,0.216584,-0.030585,feedback,0,0,False,0.016575082921105457,0.3333333333333333,-0.3333333333333333
28,10,35.508159899996826,36.7081635999959,0.395734,0.110527,feedback,0,0,False,0.031229071756090736,0.3333333333333333,-0.3333333333333333
29,10,36.708868399990024,37.9088720999891,0.733415,0.292396,feedback,0,0,False,0.04853146814122344,0.3333333333333333,-0.3333333333333333
30,10,37.89097799998126,39.090981899981855,-0.044521,-0.606747,feedback,0,0,False,0.0746783049290747,0.3333333333333333,-0.3333333333333333
31,10,39.106847899995046,40.30685149999336,0.710512,-0.279872,feedback,0,0,False,0.11033672997898812,0.3333333333333333,-0.3333333333333333
32,10,40.307089499983704,41.507093099982015,0.819261,-0.222924,feedback,0,0,False,0.17041946476983552,0.3333333333333333,-0.3333333333333333
33,10,41.49086619997979,42.69087019998115,0.802731,-0.078958,feedback,0,0,False,0.23220782558364747,0.3333333333333333,-0.3333333333333333
34,10,42.67495809998945,43.874961799988526,0.673332,-0.131962,feedback,0,0,False,0.2856964586340681,0.3333333333333333,-0.3333333333333333
35,10,43.90805889997864,45.108062699978476,0.567728,-0.277103,feedback,1,0,False,0.0,0.3333333333333333,-0.3333333333333333
36,10,45.14203849999467,46.3420422999945,0.568717,-0.477181,feedback,1,0,False,0.054747097522872434,0.3333333333333333,-0.3333333333333333
37,10,46.324341599975014,47.52435289997375,0.439818,-0.538956,feedback,1,0,False,0.11819765018959343,0.3333333333333333,-0.3333333333333333
38,10,47.523405399988405,48.72340909998748,0.21217,-0.355328,feedback,1,0,False,0.17892556068138166,0.3333333333333333,-0.3333333333333333
39,10,48.742520799976774,49.94252459997661,0.220649,-0.083142,feedback,1,0,False,0.2149183552141417,0.3333333333333333,-0.3333333333333333
40,10,49.941068799991626,51.1410724999907,0.667208,0.098936,feedback,1,0,False,0.23334817040183264,0.3333333333333333,-0.3333333333333333
41,10,51.10719749997952,52.307205699983754,0.657268,0.260157,feedback,1,0,False,0.2662559779320596,0.3333333333333333,-0.3333333333333333
42,10,52.30653849997907,53.50654219997814,0.714194,0.196787,feedback,1,0,False,0.29472736732536176,0.3333333333333333,-0.3333333333333333
43,10,53.539967899996554,54.73997169999639,0.488304,0.093339,feedback,1,0,False,0.3275432078055257,0.3333333333333333,-0.3333333333333333
44,10,54.68992559998878,55.88992939998862,1.264158,0.931799,feedback,2,0,False,0.0,0.3333333333333333,-0.3333333333333333
45,10,55.939935499976855,57.13993939997745,1.4638,0.73391,feedback,2,0,False,0.021079420893313727,0.3333333333333333,-0.3333333333333333
46,10,57.13930650000111,58.339310200000185,1.483205,0.607243,feedback,2,0,False,0.06535900062853937,0.3333333333333333,-0.3333333333333333
47,10,58.30641509999987,59.50641879999894,1.151134,0.119226,feedback,2,0,False,0.11608468991077141,0.3333333333333333,-0.3333333333333333
48,10,59.50647399999434,60.706477799994175,0.559387,-0.277845,feedback,2,0,False,0.17868652383837275,0.3333333333333333,-0.3333333333333333
49,10,60.75720259998343,61.9572062999825,0.257445,-0.801232,feedback,2,0,False,0.23178683318263854,0.3333333333333333,-0.3333333333333333
50,10,61.92213389999233,63.122137699992166,0.9398,-0.543502,feedback,2,0,False,0.2945529605604879,0.3333333333333333,-0.3333333333333333
51,10,63.107922499999404,64.30792619999848,0.680735,0.12253,feedback,3,0,False,0.0,0.3333333333333333,-0.3333333333333333
52,10,64.30662089999532,65.5066245999944,2.422162,0.674656,feedback,3,0,True,0.03386412035526126,0.3333333333333333,-0.3333333333333333
53,10,65.50582369999029,66.70583549999283,1.819549,0.706123,feedback,3,0,False,0.03386412035526126,0.3333333333333333,-0.3333333333333333
54,10,66.7224000999995,67.92240379999858,1.621939,0.575762,feedback,3,0,False,0.10294649735672434,0.3333333333333333,-0.3333333333333333
55,10,67.92334409998148,69.12334779998055,1.447913,0.409655,feedback,3,0,False,0.16785641855872582,0.3333333333333333,-0.3333333333333333
56,10,69.10625729997992,70.30626089997823,1.412274,0.317205,feedback,3,0,False,0.2322750063955328,0.3333333333333333,-0.3333333333333333
57,10,70.3231558999978,71.5231597999984,1.22851,0.389495,feedback,3,0,False,0.30021842562646117,0.3333333333333333,-0.3333333333333333
58,10,71.50823300000047,72.70824599998305,1.05793,0.221766,feedback,4,0,False,0.0,0.3333333333333333,-0.3333333333333333
59,10,72.73967049998464,73.9396749999898,0.781687,0.184017,feedback,4,0,False,0.05187969086679421,0.3333333333333333,-0.3333333333333333
60,10,73.87536499998532,75.07537629998406,0.697866,-0.135973,feedback,4,0,False,0.0856658414957944,0.3333333333333333,-0.3333333333333333
61,10,75.122254899994,76.32225869999384,0.553081,-0.282928,feedback,4,0,False,0.13970063076296638,0.3333333333333333,-0.3333333333333333
62,10,76.30665629997384,77.5066602999752,0.289571,-0.250859,feedback,4,0,False,0.19041803636499757,0.3333333333333333,-0.3333333333333333
