volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,1.6983621008694172,2.89836900010705,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,10,2.722131200134754,3.922143100574613,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,10,3.9263731008395553,5.126381000317633,-0.425912,-0.184013,baseline,0,0,nan,nan,nan,nan
3,10,5.145791600458324,6.345799300633371,-0.141712,0.054279,baseline,0,0,nan,nan,nan,nan
4,10,6.36943560000509,7.569442900642753,-0.351524,0.188728,baseline,0,0,nan,nan,nan,nan
5,10,7.547793600708246,8.747800400294363,0.038772,0.207527,baseline,0,0,nan,nan,nan,nan
6,10,8.77160600014031,9.971611100062727,0.215407,0.029715,baseline,0,0,nan,nan,nan,nan
7,10,9.990094000473619,11.190106900222599,0.201238,-0.083079,baseline,0,0,nan,nan,nan,nan
8,10,11.195513300597668,12.395518700405955,0.171809,-0.093236,baseline,0,0,nan,nan,nan,nan
9,10,12.441293000243604,13.64129930064082,0.57201,0.46126,baseline,0,0,nan,nan,nan,nan
10,10,13.672839700244367,14.872844900749623,-0.003903,-0.029474,baseline,0,0,nan,nan,nan,nan
11,10,14.904530900530517,16.104543000273406,0.021118,-0.337036,baseline,0,0,nan,nan,nan,nan
12,10,16.117089500650764,17.317096100002527,-0.077626,-0.112005,baseline,0,0,nan,nan,nan,nan
13,10,17.306022100150585,18.506029899977147,-0.249582,-0.036813,baseline,0,0,nan,nan,nan,nan
14,10,18.582964500412345,19.782969600334763,-0.320228,-0.214559,baseline,0,0,nan,nan,nan,nan
15,10,19.770754400640726,20.970768100395798,0.036487,-0.038234,baseline,0,0,nan,nan,nan,nan
16,10,21.01275570038706,22.21276780012995,0.132368,0.01216,baseline,0,0,nan,nan,nan,nan
17,10,22.201054400764406,23.401059900224208,-0.053188,0.052305,baseline,0,0,nan,nan,nan,nan
18,10,23.44054700061679,24.64055370055139,-0.017436,0.084129,baseline,0,0,nan,nan,nan,nan
19,10,24.660217900760472,25.860229000262915,-0.0118,-0.058851,baseline,0,0,nan,nan,nan,nan
20,10,25.880744400434196,27.08075390085578,0.100837,-0.207585,baseline,0,0,nan,nan,nan,nan
21,10,27.115432700142264,28.315445000119507,0.166369,-0.259816,baseline,0,0,nan,nan,nan,nan
22,10,28.322995200753212,29.52300030067563,0.228987,-0.033655,baseline,0,0,nan,nan,nan,nan
23,10,29.540593400597572,30.74060580022633,0.086286,0.13716,baseline,0,0,nan,nan,nan,nan
24,10,30.77197640016675,31.971983500570058,-0.00633,0.306685,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,10,31.999838000163436,33.199843200668695,0.005722,0.30141,feedback,0,0,False,-0.02260431039261661,0.3333333333333333,-0.3333333333333333
26,10,33.23438230063766,34.43438800033182,0.125988,0.233971,feedback,0,0,False,-0.04642116810154787,0.3333333333333333,-0.3333333333333333
27,10,34.44483970012516,35.644846900179985,0.065806,0.227582,feedback,0,0,False,-0.05466901986964484,0.3333333333333333,-0.3333333333333333
28,10,35.65034190006554,36.85034699998796,-0.105192,0.164332,feedback,0,0,False,-0.06747496738078226,0.3333333333333333,-0.3333333333333333
29,10,36.90309960022569,38.10310480073095,-0.274824,0.144361,feedback,0,0,False,-0.08881008629206588,0.3333333333333333,-0.3333333333333333
30,10,38.1170040005818,39.317009300738576,0.080221,0.169811,feedback,0,0,False,-0.12257428875790298,0.3333333333333333,-0.3333333333333333
31,10,39.32309990003705,40.52310510054231,0.077708,0.211499,feedback,0,0,False,-0.12891959345402806,0.3333333333333333,-0.3333333333333333
32,10,40.55244340002537,41.752451500669125,-0.01725,0.198551,feedback,0,0,False,-0.13932448830039026,0.3333333333333333,-0.3333333333333333
33,10,41.77005590032786,42.97006110083312,0.118968,0.365771,feedback,0,0,False,-0.15580758896815375,0.3333333333333333,-0.3333333333333333
34,10,42.98975700046867,44.18976210039109,0.14601,0.755657,feedback,0,0,False,-0.1746586540424862,0.3333333333333333,-0.3333333333333333
35,10,44.21818970050663,45.41819610055536,0.112421,0.536061,feedback,0,0,False,-0.2246106931471332,0.3333333333333333,-0.3333333333333333
36,10,45.447703200392425,46.647708900086585,0.14516,0.751882,feedback,0,0,False,-0.25520376394159394,0.3333333333333333,-0.3333333333333333
37,10,46.67789860069752,47.87790910042823,0.081833,0.59173,feedback,0,0,False,-0.30491614023418573,0.3333333333333333,-0.3333333333333333
38,10,47.88877100031823,49.088777700252834,-0.072917,0.636327,feedback,0,1,False,0.0,0.3333333333333333,-0.3333333333333333
39,10,49.10613580048084,50.306140900403264,-0.27612,0.680208,feedback,0,1,False,-0.05318782106076585,0.3333333333333333,-0.3333333333333333
40,10,50.32359340041876,51.52359850034118,-0.140136,0.968579,feedback,0,1,False,-0.13154551601025008,0.3333333333333333,-0.3333333333333333
41,10,51.54351900052279,52.74352420009673,-0.429712,1.189889,feedback,0,1,False,-0.21777002281252852,0.3333333333333333,-0.3333333333333333
42,10,52.7962181000039,53.99622830078006,-0.736238,1.343319,feedback,0,2,False,0.0,0.3333333333333333,-0.3333333333333333
43,10,53.9718276001513,55.171831800416115,-1.076452,1.314079,feedback,0,2,False,-0.1588386864535017,0.3333333333333333,-0.3333333333333333
44,10,55.222861600108445,56.422866700030866,-0.566976,1.222277,feedback,0,3,False,0.0,0.3333333333333333,-0.3333333333333333
45,10,56.42536950018257,57.62537470068783,-0.657046,1.127563,feedback,0,3,False,-0.13914978824088964,0.3333333333333333,-0.3333333333333333
46,10,57.65953580010682,58.8595461005345,-0.689094,1.073508,feedback,0,3,False,-0.27793841368557853,0.3333333333333333,-0.3333333333333333
47,10,58.86496580019593,60.064979600533846,-0.605406,1.057821,feedback,0,4,False,0.0,0.3333333333333333,-0.3333333333333333
48,10,60.0695047006011,61.26950990017504,-0.439823,0.974336,feedback,0,4,False,-0.1339683747620889,0.3333333333333333,-0.3333333333333333
49,10,61.33416560012847,62.53417090028525,-0.596967,0.761928,feedback,0,4,False,-0.2400193753253245,0.3333333333333333,-0.3333333333333333
50,10,62.56864600069821,63.768651200272146,-0.333869,0.836399,feedback,0,5,False,0.0,0.3333333333333333,-0.3333333333333333
51,10,63.778394100256264,64.97840850036592,-0.242847,1.093925,feedback,0,5,False,-0.10726351732714212,0.3333333333333333,-0.3333333333333333
52,10,64.9646038999781,66.16461170073599,0.06548,1.063056,feedback,0,5,False,-0.23721407541363906,0.3333333333333333,-0.3333333333333333
53,10,66.21726160030812,67.41726840082556,-0.14486,0.810871,feedback,0,6,False,0.0,0.3333333333333333,-0.3333333333333333
54,10,67.41135350055993,68.61135750059039,-0.198586,0.930604,feedback,0,6,False,-0.095563255917995,0.3333333333333333,-0.3333333333333333
55,10,68.68733060080558,69.88733600061387,0.00727,1.044292,feedback,0,6,False,-0.1880845724119264,0.3333333333333333,-0.3333333333333333
56,10,69.85947460029274,71.05947970021516,0.040858,0.867691,feedback,0,6,False,-0.2672933713548665,0.3333333333333333,-0.3333333333333333
57,10,71.08631800021976,72.28632330037654,-0.080103,0.655725,feedback,0,6,False,-0.33159598080170183,0.3333333333333333,-0.3333333333333333
58,10,72.30820350069553,73.50821000039578,-0.022556,0.535096,feedback,0,7,False,0.0,0.3333333333333333,-0.3333333333333333
59,10,73.54415470082313,74.74415990039707,0.060137,0.562363,feedback,0,7,False,-0.0425940290062586,0.3333333333333333,-0.3333333333333333
60,10,74.75553419999778,75.95553970038891,0.272511,0.658786,feedback,0,7,False,-0.09071906325724198,0.3333333333333333,-0.3333333333333333
61,10,75.98641180060804,77.18641620017588,0.116689,0.532133,feedback,0,7,False,-0.12719683341754082,0.3333333333333333,-0.3333333333333333
62,10,77.19647510070354,78.39648180063814,0.039707,0.496527,feedback,0,7,False,-0.1652752775794393,0.3333333333333333,-0.3333333333333333
63,10,78.43068000022322,79.63068710062653,-0.162302,0.02273,feedback,0,7,False,-0.2090493516945474,0.3333333333333333,-0.3333333333333333
64,10,79.67280780058354,80.87281500063837,-0.082325,-0.070393,feedback,0,7,False,-0.22652279617917723,0.3333333333333333,-0.3333333333333333
65,10,80.87033800035715,82.07034350074828,-0.110537,-0.048185,feedback,0,7,False,-0.22768273224837163,0.3333333333333333,-0.3333333333333333
66,10,82.11642950028181,83.3164361005649,0.013758,0.115479,feedback,0,7,False,-0.23357092569872415,0.3333333333333333,-0.3333333333333333
67,10,83.31758160050958,84.51758610066027,0.093014,0.080745,feedback,0,7,False,-0.24077542105528865,0.3333333333333333,-0.3333333333333333
