volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,14.693809600546956,15.8938123004511,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,10,14.860829200595617,16.06083190049976,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,10,14.993962900713086,16.193967100046574,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,10,15.159917300567031,16.359920000471174,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,10,15.27710260078311,16.477105200104415,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,10,15.394160700030625,16.594163399934768,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,10,15.477265399880707,16.677268000133335,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,10,15.676723199896514,16.87672590073198,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,10,15.77654470037669,16.976547499932348,-0.002151,0.008343,baseline,0,0,nan,nan,nan,nan
9,10,15.826156900264323,17.026159700751304,0.065539,-0.126051,baseline,0,0,nan,nan,nan,nan
10,10,15.943237599916756,17.143240200169384,0.137292,-0.094503,baseline,0,0,nan,nan,nan,nan
11,10,17.009505100548267,18.20950780045241,0.178745,-0.279932,baseline,0,0,nan,nan,nan,nan
12,10,18.242403000593185,19.44240570049733,0.023599,-0.132799,baseline,0,0,nan,nan,nan,nan
13,10,19.491374799981713,20.69137740023434,0.120466,-0.20954,baseline,0,0,nan,nan,nan,nan
14,10,20.807134500704706,22.00713710002601,0.149657,-0.216273,baseline,0,0,nan,nan,nan,nan
15,10,22.02330270037055,23.223305400274693,-0.125981,0.005854,baseline,0,0,nan,nan,nan,nan
16,10,23.238821200095117,24.438823800347745,-0.111668,0.113054,baseline,0,0,nan,nan,nan,nan
17,10,24.52185090072453,25.721853500045835,-0.078753,0.17837,baseline,0,0,nan,nan,nan,nan
18,10,25.771342100575566,26.97134480047971,0.051383,0.38733,baseline,0,0,nan,nan,nan,nan
19,10,27.03651780076325,28.236520500667392,-0.048881,0.082958,baseline,0,0,nan,nan,nan,nan
20,10,28.319016800262034,29.51901940051466,0.122387,0.236306,baseline,0,0,nan,nan,nan,nan
21,10,29.53589630033821,30.73589900024235,0.220336,0.168231,baseline,0,0,nan,nan,nan,nan
22,10,30.790803800337017,31.990806599892675,0.260585,0.223054,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
23,10,32.05228320043534,33.25228590033949,0.28546,0.146266,feedback,0,0,False,0.0039686968373773,0.3333333333333333,-0.3333333333333333
24,10,33.31822400074452,34.51822840031237,0.211144,-0.075563,feedback,0,0,False,0.018687696799592434,0.3333333333333333,-0.3333333333333333
25,10,34.598714800551534,35.798717600107196,0.326074,0.013896,feedback,0,0,False,0.04940430217418552,0.3333333333333333,-0.3333333333333333
26,10,35.76488890033215,36.964891699887815,0.298331,-0.229009,feedback,0,0,False,0.07980926876703494,0.3333333333333333,-0.3333333333333333
27,10,37.031841300427914,38.231844099983576,0.366399,-0.266056,feedback,0,0,False,0.13557257350771706,0.3333333333333333,-0.3333333333333333
28,10,38.282252999953926,39.48225580044091,0.185273,-0.192879,feedback,0,0,False,0.20157122931058993,0.3333333333333333,-0.3333333333333333
29,10,39.53030880074948,40.73031150065363,0.310649,-0.051858,feedback,0,0,False,0.24103257231391598,0.3333333333333333,-0.3333333333333333
30,10,40.81287750042975,42.0128810999915,-0.028446,-0.0322,feedback,0,0,False,0.27987007702962735,0.3333333333333333,-0.3333333333333333
31,10,42.04461540002376,43.244618099927905,0.055107,-0.119262,feedback,0,0,False,0.28025659543989595,0.3333333333333333,-0.3333333333333333
32,10,43.2946661002934,44.49466890078038,0.042255,-0.100496,feedback,0,0,False,0.29845254552913936,0.3333333333333333,-0.3333333333333333
33,10,44.511976200155914,45.71197890006006,0.215318,-0.215534,feedback,0,0,False,0.3129518181595445,0.3333333333333333,-0.3333333333333333
34,10,45.77785889990628,46.97786180004478,0.112439,-0.198709,feedback,1,0,False,0.0,0.3333333333333333,-0.3333333333333333
35,10,47.04400620050728,48.24400890041143,0.157614,-0.212749,feedback,1,0,False,0.032902189751306196,0.3333333333333333,-0.3333333333333333
36,10,48.259284200146794,49.459286800399425,0.129675,-0.279997,feedback,1,0,False,0.07052009862209763,0.3333333333333333,-0.3333333333333333
37,10,49.54268589988351,50.74268860071898,0.168751,-0.145818,feedback,1,0,False,0.11441066689221405,0.3333333333333333,-0.3333333333333333
38,10,50.807873700745404,52.00787630006671,0.132139,0.005812,feedback,1,0,False,0.1476746085787385,0.3333333333333333,-0.3333333333333333
39,10,52.007317600771785,53.20732030067593,0.130673,0.026688,feedback,1,0,False,0.16032992113685685,0.3333333333333333,-0.3333333333333333
40,10,53.27399370074272,54.47399640064687,0.140096,0.2823,feedback,1,0,False,0.1713257629911823,0.3333333333333333,-0.3333333333333333
41,10,54.52320070005953,55.72320339996368,0.163789,0.284138,feedback,1,0,False,0.15648633117422736,0.3333333333333333,-0.3333333333333333
42,10,55.75592190027237,56.955924600176516,0.320747,0.343963,feedback,1,0,False,0.14409498749888208,0.3333333333333333,-0.3333333333333333
43,10,56.95475060027093,58.154753300175074,0.385533,0.40824,feedback,1,0,False,0.14176923183026516,0.3333333333333333,-0.3333333333333333
44,10,58.20444010011852,59.404442800022665,0.407483,0.369279,feedback,1,0,False,0.1393996854161866,0.3333333333333333,-0.3333333333333333
45,10,59.47069950029254,60.670703700557354,0.322248,0.211538,feedback,1,0,False,0.14343954830220415,0.3333333333333333,-0.3333333333333333
46,10,60.669524100609124,61.86952669993043,0.2657,0.118206,feedback,1,0,False,0.1545303654142169,0.3333333333333333,-0.3333333333333333
47,10,61.919560899958014,63.11956359986216,0.234627,0.192092,feedback,1,0,False,0.16992182526351585,0.3333333333333333,-0.3333333333333333
48,10,63.135405300185084,64.33540800008923,0.153166,0.088672,feedback,1,0,False,0.1742421211727157,0.3333333333333333,-0.3333333333333333
49,10,64.41796440072358,65.61796710062772,0.150848,0.423344,feedback,1,0,False,0.18115174230867973,0.3333333333333333,-0.3333333333333333
50,10,65.70015620067716,66.9001589005813,0.042809,0.53703,feedback,1,0,False,0.1519576448567329,0.3333333333333333,-0.3333333333333333
51,10,66.9323543002829,68.13235700018704,0.328058,0.652747,feedback,1,0,False,0.10107178570898148,0.3333333333333333,-0.3333333333333333
52,10,68.09930030070245,69.2993030006066,0.177706,0.466726,feedback,1,0,False,0.06944829462996382,0.3333333333333333,-0.3333333333333333
53,10,69.36541349999607,70.56541619990021,-0.038433,0.26859,feedback,1,0,False,0.038886019179301956,0.3333333333333333,-0.3333333333333333
54,10,70.56476039998233,71.76476309988648,-0.015303,0.127579,feedback,1,0,False,0.008128762001253188,0.3333333333333333,-0.3333333333333333
55,10,71.84707900043577,73.04708289988339,0.001105,-0.197093,feedback,1,0,False,-0.00717902612088059,0.3333333333333333,-0.3333333333333333
56,10,73.02912230044603,74.22912500035018,-0.094807,-0.379545,feedback,1,0,False,0.012400483617731953,0.3333333333333333,-0.3333333333333333
57,10,74.29602450039238,75.49602720029652,0.001704,-0.449857,feedback,1,0,False,0.042509961118494956,0.3333333333333333,-0.3333333333333333
58,10,75.49540050048381,76.6954038001597,0.122314,-0.251026,feedback,1,0,False,0.08774689062728408,0.3333333333333333,-0.3333333333333333
59,10,76.76107050012797,77.96107320003212,0.320285,-0.363107,feedback,1,0,False,0.12722554233564362,0.3333333333333333,-0.3333333333333333
60,10,77.99293220043182,79.19293490033597,0.383019,-0.308559,feedback,1,0,False,0.19758877873130445,0.3333333333333333,-0.3333333333333333
61,10,79.2263845000416,80.42638719994575,0.259624,-0.576273,feedback,1,0,False,0.2687948600141389,0.3333333333333333,-0.3333333333333333
62,10,80.49259760044515,81.6926003003493,0.50097,-0.566866,feedback,2,0,False,0.0,0.3333333333333333,-0.3333333333333333
63,10,81.79153690021485,82.99153970070184,0.455086,-0.645145,feedback,2,0,False,0.11588930476102395,0.3333333333333333,-0.3333333333333333
64,10,83.00708150025457,84.20708440039307,0.545331,-0.700564,feedback,2,0,False,0.22764018023945926,0.3333333333333333,-0.3333333333333333
65,10,84.22440579999238,85.42440860047937,0.466924,-0.814215,feedback,3,0,False,0.0,0.3333333333333333,-0.3333333333333333
66,10,85.4727201005444,86.6727226998657,0.440355,-0.585879,feedback,3,0,False,0.13369085847473225,0.3333333333333333,-0.3333333333333333
67,10,86.70570129994303,87.90570410043001,0.606314,-0.504127,feedback,3,0,False,0.23935370723395807,0.3333333333333333,-0.3333333333333333
68,10,87.95584420021623,89.15584720000625,0.392815,-0.417684,feedback,4,0,False,0.0,0.3333333333333333,-0.3333333333333333
69,10,89.20425240043551,90.40425519999117,0.066662,-0.670729,feedback,4,0,False,0.0845781036272506,0.3333333333333333,-0.3333333333333333
70,10,90.453184700571,91.65318740047515,-0.210033,-0.790913,feedback,4,0,False,0.16152715897685874,0.3333333333333333,-0.3333333333333333
71,10,91.7368132006377,92.936815799959,-0.208044,-0.611544,feedback,4,0,False,0.22376024617038265,0.3333333333333333,-0.3333333333333333
72,10,92.98546790052205,94.18547050077468,-0.123888,-0.469406,feedback,4,0,False,0.2658667321914589,0.3333333333333333,-0.3333333333333333
73,10,94.21859350055456,95.41859630011022,-0.291412,-0.55433,feedback,4,0,False,0.30144187019857177,0.3333333333333333,-0.3333333333333333
